Gravy
Wheat Cereal
Swedish Salad
Swedish Cold Salmon
'Cactus' Melon
Pin-Wheel Canapes
Marguerites
Liver Fritters
Dempsey Cocktail
Kugel
1000 Island Potato Salad
Hot Ale Punch
Yeast Refrigerator Cookies
Shorpa Ads (Lentil Soup)
Fortified Bread
Jule Kage (Christmas Bread)
Scandinavian Coffee Cake
